"","DR.Number","Date.Reported","Date.Occurred","Time.Occurred","Area.ID","Area.Name","Reporting.District","Crime.Code","Crime.Code.Description","MO.Codes","Victim.Age","Victim.Sex","Victim.Descent","Premise.Code","Premise.Description","Address","Cross.Street","Location","Zip.Codes","Census.Tracts","Precinct.Boundaries","LA.Specific.Plans","Council.Districts","Neighborhood.Councils..Certified."
"134292",161229754,"2016-12-09T00:00:00.000","2016-12-09T00:00:00.000",1855,12,"77th Street",1257,997,"TRAFFIC COLLISION","3004 3026 3101 4012 3036 3602",28,"M","H",101,"STREET","FLORENCE                     AV","CENTRAL                      AV","{'longitude': '-118.285', 'latitude': '33.9693'}",23675,776,1360,7,14,NA
"185802",160304727,"2016-01-13T00:00:00.000","2016-01-12T00:00:00.000",1730,3,"Southwest",363,997,"TRAFFIC COLLISION","4025 3032 3004 3028 3030",31,"M","O",108,"PARKING LOT","CRENSHAW","STOCKER","{'longitude': '-118.3351', 'latitude': '34.0085'}",22725,761,1021,7,14,54
"15662",191804191,"2019-01-03T00:00:00.000","2019-01-03T00:00:00.000",1225,18,"Southeast",1851,997,"TRAFFIC COLLISION","3036 3004 3026 3101",40,"M","H",101,"STREET","FIGUEROA                     ST","EL SEGUNDO                   BL","{'longitude': '-118.2827', 'latitude': '33.9164'}",24355,939,1243,7,15,53
"172738",161509360,"2016-04-08T00:00:00.000","2016-04-08T00:00:00.000",1500,15,"N Hollywood",1538,997,"TRAFFIC COLLISION","3004 3036 3025 3101 3401 3701 4026",21,"M","H",101,"STREET","VINELAND                     AV","OXNARD                       ST","{'longitude': '-118.3703', 'latitude': '34.1794'}",8488,199,1077,NA,5,13
"276627",141606906,"2014-03-24T00:00:00.000","2014-03-24T00:00:00.000",1835,16,"Foothill",1623,997,"TRAFFIC COLLISION","3004 3036 3025 3101 3401 3701 4026",NA,"F","O",101,"STREET","GLENOAKS","VAN NUYS","{'longitude': '-118.4117', 'latitude': '34.2737'}",18907,21,369,NA,1,11
"125399",170405816,"2017-02-06T00:00:00.000","2017-02-06T00:00:00.000",1105,4,"Hollenbeck",457,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3026 0605",22,"M","H",101,"STREET","EVERGREEN","E  CESAR E CHAVEZ               AV","{'longitude': '-118.2004', 'latitude': '34.0436'}",24028,514,822,NA,9,38
"431156",101821284,"2010-10-25T00:00:00.000","2010-10-24T00:00:00.000",205,18,"Southeast",1844,997,"TRAFFIC COLLISION","0605",42,"F","B",101,"STREET","115TH","GRANDEE","{'longitude': '-118.2435', 'latitude': '33.9303'}",24354,822,658,7,15,40
"119092",171808472,"2017-03-23T00:00:00.000","2017-03-17T00:00:00.000",2240,18,"Southeast",1824,997,"TRAFFIC COLLISION","3004 3028 3030 3101 4018",59,"F","H",101,"STREET","MCKINLEY                     AV","97TH                         ST","{'longitude': '-118.2608', 'latitude': '33.9484'}",22351,806,1176,7,14,45
"61777",180507411,"2018-03-14T00:00:00.000","2018-03-14T00:00:00.000",755,5,"Harbor",525,997,"TRAFFIC COLLISION","0605 4005 3036 3003 3026 3101",40,"M","O",101,"STREET","E                            ST","FRIES                        AV","{'longitude': '-118.2678', 'latitude': '33.7739'}",3350,966,1560,NA,15,15
"453362",101511070,"2010-04-26T00:00:00.000","2010-04-25T00:00:00.000",2130,15,"N Hollywood",1545,997,"TRAFFIC COLLISION","",NA,"M","W",101,"STREET","LAUREL CANYON","BURBANK","{'longitude': '-118.3965', 'latitude': '34.1722'}",8890,190,504,NA,5,70
"184115",161105113,"2016-01-25T00:00:00.000","2016-01-25T00:00:00.000",810,11,"Northeast",1136,997,"TRAFFIC COLLISION","3101 3401 3701 3003 3026 3029 3032",58,"M","H",108,"PARKING LOT","YORK                         BL","EAGLE ROCK                   BL","{'longitude': '-118.2208', 'latitude': '34.1241'}",23672,383,1433,NA,11,60
"35258",182016545,"2018-08-31T00:00:00.000","2018-08-31T00:00:00.000",10,20,"Olympic",2049,997,"TRAFFIC COLLISION","3006 3028 3030 3035 3037 3101 3401 3701 4020",NA,"","",101,"STREET","SAN MARINO                   ST","W  WESTMORELAND","{'longitude': '-118.2891', 'latitude': '34.055'}",22723,599,1292,NA,11,63
"273647",141008571,"2014-04-17T00:00:00.000","2014-04-17T00:00:00.000",1240,10,"West Valley",1079,997,"TRAFFIC COLLISION","3004 3037 3028 3030 3101 3401 3701 4026",26,"F","W",101,"STREET","VENTURA","GLORIA","{'longitude': '-118.4793', 'latitude': '34.1558'}",19737,338,665,6,6,62
"74383",170328012,"2017-12-21T00:00:00.000","2017-12-21T00:00:00.000",650,3,"Southwest",326,997,"TRAFFIC COLLISION","4025 3036 3004 3026 3101",38,"M","H",101,"STREET","ADAMS                        BL","NORMANDIE                    AV","{'longitude': '-118.3002', 'latitude': '34.0327'}",22724,689,654,7,14,32
"328436",132105269,"2013-01-29T00:00:00.000","2013-01-29T00:00:00.000",730,21,"Topanga",2101,997,"TRAFFIC COLLISION","3006 3030 3037 3101 3401 3701 4026",29,"M","A",101,"STREET","GLEDHILL","FARRALONE","{'longitude': '-118.6104', 'latitude': '34.2413'}",4284,96,370,53,2,43
"108726",170211029,"2017-05-23T00:00:00.000","2017-05-22T00:00:00.000",2200,2,"Rampart",215,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3009 3024 3036 3602",45,"M","H",101,"STREET","W  TEMPLE                       ST","N  RAMPART                      BL","{'longitude': '-118.2749', 'latitude': '34.0726'}",23444,556,612,NA,8,31
"414651",110307975,"2011-03-07T00:00:00.000","2011-03-06T00:00:00.000",130,3,"Southwest",393,997,"TRAFFIC COLLISION","0605",NA,"F","O",101,"STREET","CREED                        AV","STOCKER                      PL","{'longitude': '-118.327', 'latitude': '34.0088'}",22725,749,1020,7,12,54
"281135",141906564,"2014-02-17T00:00:00.000","2014-02-17T00:00:00.000",830,19,"Mission",1916,997,"TRAFFIC COLLISION","3006 3030 3037 3028 3101 3401 3701 4019",NA,"M","O",101,"STREET","AZTEC                        ST","BORDEN                       AV","{'longitude': '-118.4372', 'latitude': '34.3029'}",18912,43,1401,NA,1,47
"243636",141430202,"2014-12-08T00:00:00.000","2014-12-03T00:00:00.000",900,14,"Pacific",1407,997,"TRAFFIC COLLISION","3006 3030 3028 3035 3037 3101 3401 3701 4014",NA,"M","W",101,"STREET","3700    JASMINE                      AV","","{'longitude': '-118.4035', 'latitude': '34.0239'}",23451,883,981,9,6,74
"455754",101211306,"2010-04-05T00:00:00.000","2010-04-05T00:00:00.000",100,12,"77th Street",1259,997,"TRAFFIC COLLISION","0605",21,"M","B",101,"STREET","FLORENCE                     AV","CENTRAL                      AV","{'longitude': '-118.2564', 'latitude': '33.9748'}",22350,789,95,7,13,46
"84872",171920162,"2017-10-20T00:00:00.000","2017-10-20T00:00:00.000",8,19,"Mission",1908,997,"TRAFFIC COLLISION","3006 3037 3028 3034 3101 3401 3701 4026",30,"M","H",101,"STREET","HUBBARD                      ST","E  GARRICK                      AV","{'longitude': '-118.4184', 'latitude': '34.3181'}",18912,40,1527,NA,1,47
"238071",160304753,"2016-01-13T00:00:00.000","2015-01-13T00:00:00.000",645,3,"Southwest",351,997,"TRAFFIC COLLISION","",48,"M","B",101,"STREET","LA BREA","EXPOSITION","{'longitude': '-118.3552', 'latitude': '34.0247'}",23077,669,1514,NA,12,17
"403245",110710541,"2011-06-06T00:00:00.000","2011-06-06T00:00:00.000",1700,7,"Wilshire",732,997,"TRAFFIC COLLISION","0605",38,"F","O",101,"STREET","WILSHIRE                     BL","FAIRFAX","{'longitude': '-118.3614', 'latitude': '34.0632'}",23679,630,1098,NA,6,26
"466424",100504442,"2010-01-11T00:00:00.000","2010-01-11T00:00:00.000",2130,5,"Harbor",565,997,"TRAFFIC COLLISION","",40,"M","H",101,"STREET","W  10TH                         ST","S  MEYLER                       ST","{'longitude': '-118.2968', 'latitude': '33.7352'}",3342,977,1210,NA,15,36
"322731",130208376,"2013-03-17T00:00:00.000","2013-03-16T00:00:00.000",2300,2,"Rampart",238,997,"TRAFFIC COLLISION","3101 3401 3701 3006 3030",46,"F","H",101,"STREET","TEMPLE                       ST","EDGEWARE                     ST","{'longitude': '-118.2546', 'latitude': '34.0667'}",23444,548,397,54,11,31
"304495",131714466,"2013-08-15T00:00:00.000","2013-08-13T00:00:00.000",1420,17,"Devonshire",1782,997,"TRAFFIC COLLISION","3004 3029 3037 3026 3101 3401 3701 4026",54,"M","W",101,"STREET","CORBIN                       AV","NORDHOFF                     ST","{'longitude': '-118.5623', 'latitude': '34.232'}",18513,101,1426,NA,2,77
"363413",120808589,"2012-04-19T00:00:00.000","2012-04-19T00:00:00.000",1535,8,"West LA",881,997,"TRAFFIC COLLISION","0605 3401 3701 3008 3026 3035 3037 3101",23,"M","A",101,"STREET","PICO                         BL","BARRINGTON                   AV","{'longitude': '-118.4457', 'latitude': '34.0316'}",24029,889,1128,9,10,50
"373777",120805298,"2012-01-29T00:00:00.000","2012-01-28T00:00:00.000",530,8,"West LA",831,997,"TRAFFIC COLLISION","0605",34,"M","W",101,"STREET","BUNDY                        DR","GORHAM                       AV","{'longitude': '-118.4711', 'latitude': '34.0485'}",23680,844,1382,9,10,NA
"296670",131118667,"2013-10-13T00:00:00.000","2013-10-13T00:00:00.000",1240,11,"Northeast",1142,997,"TRAFFIC COLLISION","3101 3401 3701 3011",81,"F","W",101,"STREET","HILLHURST                    AV","AMBROSE                      AV","{'longitude': '-118.2874', 'latitude': '34.11'}",23445,400,511,NA,7,3
"176727",161507965,"2016-03-13T00:00:00.000","2016-03-13T00:00:00.000",1205,15,"N Hollywood",1547,997,"TRAFFIC COLLISION","3037 3026 3101 3401 3701 4026 3004",41,"F","W",101,"STREET","TUJUNGA                      AV","OTSEGO                       ST","{'longitude': '-118.379', 'latitude': '34.163'}",8488,NA,322,NA,5,13
"254326",141220588,"2014-09-16T00:00:00.000","2014-09-14T00:00:00.000",230,12,"77th Street",1204,997,"TRAFFIC COLLISION","3004 3026 3101 4012",20,"M","X",101,"STREET","VERNON","FIGUEROA","{'longitude': '-118.2827', 'latitude': '34.0038'}",23668,735,865,7,13,2
"104576",171610918,"2017-06-18T00:00:00.000","2017-06-17T00:00:00.000",2125,16,"Foothill",1657,997,"TRAFFIC COLLISION","3004 3037 3602 3026 3101 3401 3701 4026",74,"M","H",101,"STREET","FOOTHILL                     BL","COMMERCE                     ST","{'longitude': '-118.2886', 'latitude': '34.248'}",3222,6,537,8,1,7
"95596",170617749,"2017-08-14T00:00:00.000","2017-08-14T00:00:00.000",1340,6,"Hollywood",645,997,"TRAFFIC COLLISION","3004 3028 3030 3035 3037 3101 3401 3701 4006",38,"F","A",101,"STREET","SUNSET                       BL","MANSFIELD                    AV","{'longitude': '-118.3405', 'latitude': '34.098'}",23446,414,1303,NA,8,34
"74237",171121166,"2017-12-22T00:00:00.000","2017-12-22T00:00:00.000",1330,11,"Northeast",1134,997,"TRAFFIC COLLISION","3101 3401 3701 3003 3025 3032",70,"F","K",101,"STREET","2700 N  SAN FERNANDO                 RD","","{'longitude': '-118.2423', 'latitude': '34.1094'}",24030,392,1430,NA,11,56
"150403",160619048,"2016-08-30T00:00:00.000","2016-08-30T00:00:00.000",930,6,"Hollywood",679,997,"TRAFFIC COLLISION","3004 3026 3029 3035 3036 3101 3401 3701 4027",33,"M","H",101,"STREET","FOUNTAIN                     AV","HOBART                       BL","{'longitude': '-118.3027', 'latitude': '34.0886'}",23447,439,929,NA,8,58
"323152",130507174,"2013-03-14T00:00:00.000","2013-03-13T00:00:00.000",1945,5,"Harbor",551,997,"TRAFFIC COLLISION","3026 3101 3006",50,"M","W",101,"STREET","1ST                          AV","MIRABEAU                     AV","{'longitude': '-118.3117', 'latitude': '33.7441'}",3343,972,1444,NA,15,25
"352471",120812247,"2012-07-18T00:00:00.000","2012-07-17T00:00:00.000",2250,8,"West LA",808,997,"TRAFFIC COLLISION","3011 3030 3035 3037 3101 3401 3701",55,"M","W",101,"STREET","BENEDICT CANYON              DR","PORTOLA                      DR","{'longitude': '-118.4352', 'latitude': '34.1119'}",24346,827,796,NA,6,81
"79153",170418581,"2017-11-23T00:00:00.000","2017-11-22T00:00:00.000",2335,4,"Hollenbeck",491,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3026",31,"F","H",101,"STREET","SOTO","OLYMPIC","{'longitude': '-118.2198', 'latitude': '34.0243'}",23441,530,961,NA,9,38
"316651",130111705,"2013-05-04T00:00:00.000","2013-05-04T00:00:00.000",255,1,"Central",185,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3036 3030",57,"M","H",101,"STREET","OLYMPIC                      BL","HILL                         ST","{'longitude': '-118.2584', 'latitude': '34.0416'}",23076,547,1319,NA,9,76
"135025",161720569,"2016-12-04T00:00:00.000","2016-12-04T00:00:00.000",1245,17,"Devonshire",1745,997,"TRAFFIC COLLISION","3004 3037 3026 3101 3401 3701 4026",77,"F","O",101,"STREET","BALBOA                       BL","SAN JOSE                     ST","{'longitude': '-118.5023', 'latitude': '34.2612'}",19329,85,324,39,2,79
"150571",160714515,"2016-08-29T00:00:00.000","2016-08-29T00:00:00.000",1800,7,"Wilshire",722,997,"TRAFFIC COLLISION","3004 3026 3029 3035 3036 3101 3401 3701 4007",52,"F","O",101,"STREET","3RD                          ST","BEVERLY","{'longitude': '-118.373', 'latitude': '34.0714'}",23679,631,1094,NA,6,26
"289121",131226625,"2013-12-11T00:00:00.000","2013-12-11T00:00:00.000",1745,12,"77th Street",1266,997,"TRAFFIC COLLISION","3008 3026 3101",24,"M","H",101,"STREET","81ST                         ST","HOOVER                       ST","{'longitude': '-118.2871', 'latitude': '33.9655'}",23675,782,1005,7,14,45
"462937",101206677,"2010-02-06T00:00:00.000","2010-02-06T00:00:00.000",1550,12,"77th Street",1243,997,"TRAFFIC COLLISION","",31,"M","H",101,"STREET","71ST                         ST","WESTERN                      AV","{'longitude': '-118.309', 'latitude': '33.9754'}",23678,770,1061,7,14,35
"286851",131122062,"2013-12-30T00:00:00.000","2013-12-30T00:00:00.000",2115,11,"Northeast",1136,997,"TRAFFIC COLLISION","3101 3401 3701 3006 3030",32,"F","H",101,"STREET","AVENUE 49","BAMFORD                      PL","{'longitude': '-118.2103', 'latitude': '34.1174'}",23673,385,1433,NA,11,93
"74226",180705219,"2017-12-22T00:00:00.000","2017-12-22T00:00:00.000",1650,7,"Wilshire",738,997,"TRAFFIC COLLISION","3004 3025 3035 3037 3101 3401 3701 4007",40,"F","B",101,"STREET","6TH                          ST","RIMPAU                       BL","{'longitude': '-118.3329', 'latitude': '34.0648'}",23081,577,874,NA,7,86
"12129",190105859,"2019-01-28T00:00:00.000","2019-01-28T00:00:00.000",1510,1,"Central",162,997,"TRAFFIC COLLISION","3101 3701 3004 3026 3401",51,"F","O",101,"STREET","9TH                          ST","HILL                         ST","{'longitude': '-118.2577', 'latitude': '34.0434'}",23076,546,1050,NA,9,76
"258811",141218302,"2014-08-13T00:00:00.000","2014-08-12T00:00:00.000",540,12,"77th Street",1269,997,"TRAFFIC COLLISION","3006 3028 3030 3101 4012",NA,"M","O",101,"STREET","81ST                         ST","STANFORD","{'longitude': '-118.2629', 'latitude': '33.9656'}",22350,796,999,7,13,46
"144492",160624371,"2016-10-05T00:00:00.000","2016-10-05T00:00:00.000",1730,6,"Hollywood",645,997,"TRAFFIC COLLISION","3004 3028 3030 3035 3037 3101 3401 3701 4006",40,"M","W",101,"STREET","LA BREA                      AV","HOLLYWOOD                    BL","{'longitude': '-118.3452', 'latitude': '34.1016'}",23446,414,1303,NA,8,34
"106214",171414032,"2017-06-07T00:00:00.000","2017-06-07T00:00:00.000",2100,14,"Pacific",1477,997,"TRAFFIC COLLISION","1402",NA,"X","X",102,"SIDEWALK","7800    FLIGHT                       AV","","{'longitude': '-118.3823', 'latitude': '33.9688'}",23676,925,1066,10,10,16
"100156",170812907,"2017-07-17T00:00:00.000","2017-07-16T00:00:00.000",1830,8,"West LA",832,997,"TRAFFIC COLLISION","3006 3028 3030 3035 3037 3101 3401 3701 4027",29,"F","W",101,"STREET","WESTGATE","GORHAM","{'longitude': '-118.4692', 'latitude': '34.0515'}",23680,844,1384,9,10,NA
"325720",130307081,"2013-02-21T00:00:00.000","2013-02-21T00:00:00.000",1350,3,"Southwest",328,997,"TRAFFIC COLLISION","3008 3025 3101",22,"F","O",101,"STREET","FIGUEROA","28TH                         ST","{'longitude': '-118.277', 'latitude': '34.0266'}",22724,701,967,7,13,32
"16001",191904042,"2019-01-01T00:00:00.000","2019-01-01T00:00:00.000",15,19,"Mission",1954,997,"TRAFFIC COLLISION","4010 3011 3037 3028 3030 3101 3401 3701",NA,"M","W",101,"STREET","9900    SEPULVEDA                    BL","","{'longitude': '-118.4675', 'latitude': '34.25'}",18914,116,639,NA,1,73
"431533",100920258,"2010-10-21T00:00:00.000","2010-10-21T00:00:00.000",450,9,"Van Nuys",974,997,"TRAFFIC COLLISION","",27,"M","W",101,"STREET","VENTURA                      BL","VAN NUYS                     BL","{'longitude': '-118.4487', 'latitude': '34.1509'}",19736,337,680,6,7,83
"205420",151220684,"2015-09-02T00:00:00.000","2015-09-02T00:00:00.000",1100,12,"77th Street",1268,997,"TRAFFIC COLLISION","4025 3006 3028 3030 3101",28,"M","H",101,"STREET","79TH                         ST","BROADWAY","{'longitude': '-118.2783', 'latitude': '33.9679'}",22352,793,1004,7,13,46
"278169",140907478,"2014-03-12T00:00:00.000","2014-03-12T00:00:00.000",730,9,"Van Nuys",906,997,"TRAFFIC COLLISION","3011 3037 3028 3030 3101 3401 3701 4026",NA,"M","H",110,"FREEWAY","VAN NUYS                     BL","SATICOY                      ST","{'longitude': '-118.4488', 'latitude': '34.2085'}",19733,218,263,NA,3,18
"220239",152010879,"2015-05-21T00:00:00.000","2015-05-21T00:00:00.000",1800,20,"Olympic",2044,997,"TRAFFIC COLLISION","3006 3028 3030 3035 3037 3102 3401 3701 4020 0605",NA,"F","X",101,"STREET","IROLO","JAMES M WOOD","{'longitude': '-118.3009', 'latitude': '34.0559'}",22722,607,647,NA,12,89
"453978",101411061,"2010-04-21T00:00:00.000","2010-04-20T00:00:00.000",1310,14,"Pacific",1434,997,"TRAFFIC COLLISION","1501",37,"M","W",101,"STREET","CENTINELA                    AV","VENICE","{'longitude': '-118.4336', 'latitude': '34.0038'}",24031,899,861,10,10,27
"128155",170605123,"2017-01-20T00:00:00.000","2017-01-19T00:00:00.000",1555,6,"Hollywood",648,997,"TRAFFIC COLLISION","3008 4006 3026 3029 3035 3037 3101 3401 3701",31,"F","W",101,"STREET","SUNSET","SAINT ANDREWS","{'longitude': '-118.3109', 'latitude': '34.0981'}",23446,420,608,16,8,57
"315963",130509750,"2013-05-10T00:00:00.000","2013-05-10T00:00:00.000",1300,5,"Harbor",514,997,"TRAFFIC COLLISION","3030 3101 3004 3028",36,"F","W",101,"STREET","WILMINGTON","PACIFIC COAST","{'longitude': '-118.2751', 'latitude': '33.7915'}",3350,955,1199,NA,15,15
"123562",170506262,"2017-02-18T00:00:00.000","2017-02-18T00:00:00.000",516,5,"Harbor",587,997,"TRAFFIC COLLISION","3030 3028 3037 3006 4005",40,"F","W",101,"STREET","GAFFEY                       ST","32ND                         ST","{'longitude': '-118.2929', 'latitude': '33.7152'}",3342,985,831,15,15,33
"423793",100630020,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000",1450,6,"Hollywood",656,997,"TRAFFIC COLLISION","",27,"M","W",101,"STREET","COLE","ROMAINE","{'longitude': '-118.3299', 'latitude': '34.0889'}",23669,442,535,NA,8,34
"376010",122104511,"2012-01-12T00:00:00.000","2012-01-11T00:00:00.000",1600,21,"Topanga",2146,997,"TRAFFIC COLLISION","3401 1501 3004 3030 3101 3104 3701",87,"F","W",101,"STREET","21900    SHERMAN                      WY","","{'longitude': '-118.6044', 'latitude': '34.201'}",4278,286,1472,NA,4,37
"56273",181909741,"2018-04-21T00:00:00.000","2018-04-18T00:00:00.000",900,19,"Mission",1983,997,"TRAFFIC COLLISION","3030 3028 3037 3101 3401 3701 4019 3006",37,"F","B",101,"STREET","COLUMBUS                     AV","RAYEN                        ST","{'longitude': '-118.4637', 'latitude': '34.2249'}",18914,127,452,NA,3,73
"86217",171322037,"2017-10-12T00:00:00.000","2017-10-12T00:00:00.000",1005,13,"Newton",1394,997,"TRAFFIC COLLISION","3101 3401 3701 3012 3034",53,"M","O",108,"PARKING LOT","FLORENCE                     AV","SAN PEDRO                    ST","{'longitude': '-118.2695', 'latitude': '33.9747'}",22352,790,998,7,13,46
"425366",100719311,"2010-12-09T00:00:00.000","2010-12-09T00:00:00.000",1900,7,"Wilshire",719,997,"TRAFFIC COLLISION","0110",42,"M","H",101,"STREET","ARDEN","ROSEWOOD","{'longitude': '-118.326', 'latitude': '34.079'}",22721,448,427,NA,7,86
"284949",141004655,"2014-01-16T00:00:00.000","2014-01-16T00:00:00.000",1425,10,"West Valley",1023,997,"TRAFFIC COLLISION","4010 3004 3036 3030 3101 3401 3701 3028",65,"M","W",101,"STREET","VANOWEN                      ST","TAMPA                        AV","{'longitude': '-118.5535', 'latitude': '34.1939'}",18909,265,1467,NA,4,12
"162783",161610457,"2016-06-11T00:00:00.000","2016-06-11T00:00:00.000",1815,16,"Foothill",1633,997,"TRAFFIC COLLISION","3034 3101 3401 3701 4026 3011 3024 3037",45,"M","W",101,"STREET","FOOTHILL                     BL","OSBORNE                      ST","{'longitude': '-118.3938', 'latitude': '34.2736'}",18912,18,248,NA,1,9
"422503",101125196,"2010-12-31T00:00:00.000","2010-12-31T00:00:00.000",1430,11,"Northeast",1118,997,"TRAFFIC COLLISION","",28,"M","H",101,"STREET","YORK                         BL","NOLDEN                       ST","{'longitude': '-118.1952', 'latitude': '34.1191'}",23673,370,1224,NA,9,93
"417104",110806043,"2011-02-15T00:00:00.000","2011-02-15T00:00:00.000",810,8,"West LA",891,997,"TRAFFIC COLLISION","0605",40,"F","H",101,"STREET","CENTINELA","PICO","{'longitude': '-118.4527', 'latitude': '34.0278'}",24029,889,1128,9,10,50
"288355",130223793,"2013-12-17T00:00:00.000","2013-12-17T00:00:00.000",1525,2,"Rampart",246,997,"TRAFFIC COLLISION","0605 3101 3401 3701 3004 3026",42,"F","W",101,"STREET","S  ALVARADO                     ST","MARYLAND                     ST","{'longitude': '-118.2738', 'latitude': '34.0613'}",24352,559,690,NA,11,63
"128275",170404724,"2017-01-18T00:00:00.000","2017-01-18T00:00:00.000",813,4,"Hollenbeck",443,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3030",42,"F","H",101,"STREET","STATE                        ST","MARENGO                      ST","{'longitude': '-118.2098', 'latitude': '34.0585'}",23450,510,488,NA,9,1
"324116",131408364,"2013-03-06T00:00:00.000","2013-03-06T00:00:00.000",1535,14,"Pacific",1445,997,"TRAFFIC COLLISION","3004 3030 3035 3037 3101 3401 3701 4014",NA,"X","X",101,"STREET","WADE                         AV","CASWELL                      AV","{'longitude': '-118.4357', 'latitude': '33.9984'}",24031,902,1131,10,10,27
"187578",150418673,"2015-12-31T00:00:00.000","2015-12-29T00:00:00.000",1340,4,"Hollenbeck",497,997,"TRAFFIC COLLISION","3101 3401 3701 3006 3030",45,"M","H",101,"STREET","SOTO                         ST","LUGO                         ST","{'longitude': '-118.22', 'latitude': '34.0167'}",23441,530,961,NA,9,38
"12391",191105327,"2019-01-27T00:00:00.000","2019-01-26T00:00:00.000",2200,11,"Northeast",1177,997,"TRAFFIC COLLISION","3101 3401 3701 3011 3034 3602",NA,"M","O",101,"STREET","AVENUE 28                    AV","IDELL                        ST","{'longitude': '-118.2236', 'latitude': '34.0869'}",24030,381,1365,NA,11,94
"165369",160810874,"2016-05-27T00:00:00.000","2016-05-25T00:00:00.000",1842,8,"West LA",852,997,"TRAFFIC COLLISION","3004 3026 3035 3036 3101 3401 3701 4008",NA,"M","W",101,"STREET","BARRINGTON","IOWA","{'longitude': '-118.454', 'latitude': '34.0414'}",23443,865,1381,9,10,50
"174353",161007548,"2016-03-28T00:00:00.000","2016-03-28T00:00:00.000",550,10,"West Valley",1012,997,"TRAFFIC COLLISION","3004 3037 3030 3028 3101 3401 3701 4026",23,"M","H",101,"STREET","SHERMAN                      WY","AMIGO                        AV","{'longitude': '-118.5386', 'latitude': '34.2011'}",18909,250,308,NA,4,12
"451556",100613223,"2010-05-10T00:00:00.000","2010-05-09T00:00:00.000",1500,6,"Hollywood",659,997,"TRAFFIC COLLISION","",47,"M","H",101,"STREET","SUNSET                       BL","NORMANDIE","{'longitude': '-118.3005', 'latitude': '34.0981'}",23445,430,456,16,8,58
"13458",190204940,"2019-01-18T00:00:00.000","2019-01-18T00:00:00.000",150,2,"Rampart",269,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3025",63,"M","W",101,"STREET","7TH","VALENCIA","{'longitude': '-118.2694', 'latitude': '34.0531'}",23078,568,1378,NA,11,68
"331391",130704144,"2013-01-04T00:00:00.000","2013-01-04T00:00:00.000",1300,7,"Wilshire",722,997,"TRAFFIC COLLISION","3004 3030 3035 3037 3101 3401 3701 4027",39,"M","O",101,"STREET","LA CIENEGA                   BL","3RD                          ST","{'longitude': '-118.3765', 'latitude': '34.073'}",23679,633,809,NA,6,26
"220925",152110087,"2015-05-15T00:00:00.000","2015-05-15T00:00:00.000",850,21,"Topanga",2158,997,"TRAFFIC COLLISION","3011 3034 3028 3602 3101 3401 3701 4026 3037",46,"F","H",101,"STREET","VICTORY                      BL","DE SOTO                      AV","{'longitude': '-118.5906', 'latitude': '34.1884'}",4278,293,1107,2,4,49
"446141",101612850,"2010-06-24T00:00:00.000","2010-06-23T00:00:00.000",2120,16,"Foothill",1661,997,"TRAFFIC COLLISION","",23,"F","O",101,"STREET","BRANFORD                     ST","SHARP                        AV","{'longitude': '-118.4167', 'latitude': '34.2384'}",18907,129,454,NA,3,41
"350012",120915638,"2012-08-06T00:00:00.000","2012-08-06T00:00:00.000",1845,9,"Van Nuys",923,997,"TRAFFIC COLLISION","3026 3701 3401 3101 3037 3003 4026 3501",22,"F","W",101,"STREET","VESPER                       AV","HAMLIN                       ST","{'longitude': '-118.4509', 'latitude': '34.1887'}",19735,232,290,NA,3,18
"188294",151721074,"2015-12-23T00:00:00.000","2015-12-23T00:00:00.000",1830,17,"Devonshire",1764,997,"TRAFFIC COLLISION","3030 3028 3101 3401 3701 4017 3006 3032 3037",40,"M","W",101,"STREET","TAMPA                        AV","PLUMMER                      ST","{'longitude': '-118.5536', 'latitude': '34.2428'}",18513,97,306,NA,2,77
"147600",161116673,"2016-09-17T00:00:00.000","2016-09-16T00:00:00.000",2045,11,"Northeast",1101,997,"TRAFFIC COLLISION","3101 3401 3701 3004",35,"M","W",101,"STREET","FOREST LAWN                  DR","ZOO                          DR","{'longitude': '-118.3119', 'latitude': '34.1538'}",23445,2326,1325,NA,7,3
"316965",130909977,"2013-05-02T00:00:00.000","2013-05-02T00:00:00.000",1815,9,"Van Nuys",981,997,"TRAFFIC COLLISION","3004 3036 3026 3101 3401 3701 4026",42,"F","W",101,"STREET","VENTURA                      BL","COLUMBUS                     AV","{'longitude': '-118.464', 'latitude': '34.1535'}",19732,335,883,6,7,83
"385466",110817353,"2011-10-27T00:00:00.000","2011-10-26T00:00:00.000",310,8,"West LA",827,997,"TRAFFIC COLLISION","0605 1300",NA,"X","X",101,"STREET","500 S  BARRINGTON                   AV","","{'longitude': '-118.4685', 'latitude': '34.0597'}",23680,841,1219,9,10,NA
"408118",111109992,"2011-04-27T00:00:00.000","2011-04-27T00:00:00.000",320,11,"Northeast",1145,997,"TRAFFIC COLLISION","",28,"M","H",101,"STREET","ALLESANDRO                   ST","WHITMORE                     AV","{'longitude': '-118.2528', 'latitude': '34.0957'}",23670,480,1428,NA,8,31
