"","Row original","Division of Records","Date Reported","Date Occurred","Time Occurred","Area ID","Area Name","Reporting Distric","Crime Code","Crime Code Description","Modus Operandi Codes","Victim Age","Victim Sex","Victim Descent","Premise Code","Premise Description","Address","Cross Street","Location","Zip Codes","Census Tracts","Precint Boundaries","LA Specific Plans","Council Districts","Neighborhood Councils"
"708",274413,141509161,"2014-04-10","2014-04-10",1230,15,"N Hollywood",1596,997,"TRAFFIC COLLISION","3004 3037 3034 3028 3101 3401 3701 4026",53,"M","H",101,"STREET","MULHOLLAND","WRIGHTWOOD","{'longitude': '-118.3716', 'latitude': '34.1306'}",8492,350,973,46,5,84
"709",214940,151216126,"2015-06-29","2015-06-28",1945,12,"77th Street",1257,997,"TRAFFIC COLLISION","4025 3003 3029 3026 3101",20,"M","B",101,"STREET","BROADWAY","77TH                         ST","{'longitude': '-118.2783', 'latitude': '33.9699'}",22352,793,1004,7,13,46
"710",86077,170716899,"2017-10-13","2017-10-13",810,7,"Wilshire",743,997,"TRAFFIC COLLISION","3004 3026 3029 3035 3037 3101 3401 3701 4027",40,"M","A",101,"STREET","OLYMPIC                      BL","GENESEE                      AV","{'longitude': '-118.3608', 'latitude': '34.0577'}",23667,638,1083,NA,7,26
"711",181087,160705960,"2016-02-14","2016-02-13",2300,7,"Wilshire",715,997,"TRAFFIC COLLISION","3006 3028 3030 3035 3037 3101 3401 3701 4027",40,"F","W",101,"STREET","ROSEWOOD","POINTSETTIA","{'longitude': '-118.3463', 'latitude': '34.0782'}",23667,623,1080,NA,6,26
"712",315762,131912219,"2013-05-18","2013-05-11",1030,19,"Mission",1921,997,"TRAFFIC COLLISION","3006 3030 3037 3102 3401 4026",37,"M","B",101,"STREET","12700    ENCINITAS                    AV","","{'longitude': '-118.4744', 'latitude': '34.3005'}",18912,51,1402,NA,1,47
"713",277257,140308394,"2014-03-20","2014-03-19",1945,3,"Southwest",311,997,"TRAFFIC COLLISION","3004 3028 3030 3101",28,"M","H",101,"STREET","NATIONAL                     BL","JEFFERSON                    BL","{'longitude': '-118.376', 'latitude': '34.0268'}",23077,667,1119,NA,12,17
"714",316913,131110285,"2013-05-04","2013-05-03",1750,11,"Northeast",1181,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3036 3026",40,"M","W",101,"STREET","RESERVOIR                    ST","MOHAWK                       ST","{'longitude': '-118.2645', 'latitude': '34.0799'}",23444,469,634,NA,8,31
"715",251491,141518333,"2014-10-05","2014-10-04",1920,15,"N Hollywood",1505,997,"TRAFFIC COLLISION","3003 3036 3027 3101 3401 3701 4026",60,"M","H",101,"STREET","SHERMAN                      WY","IRVINE                       AV","{'longitude': '-118.3855', 'latitude': '34.2012'}",8888,169,478,NA,5,14
"716",311469,130114429,"2013-06-16","2013-06-16",55,1,"Central",152,997,"TRAFFIC COLLISION","3030 3101 3401 3701 3004",41,"F","W",101,"STREET","HOPE                         ST","6TH                          ST","{'longitude': '-118.2569', 'latitude': '34.0488'}",23078,546,733,NA,9,76
"717",210762,150713642,"2015-08-19","2015-07-28",1540,7,"Wilshire",779,997,"TRAFFIC COLLISION","3006 3028 3030 3035 3037 3101 3401 3701 4007",51,"M","H",101,"STREET","WASHINGTON                   BL","3RD                          AV","{'longitude': '-118.3201', 'latitude': '34.0399'}",23079,658,927,NA,12,19
"718",12031,190705299,"2019-01-29","2019-01-29",645,7,"Wilshire",745,997,"TRAFFIC COLLISION","3004 3026 3034 3036 3101 3401 3701 4007",47,"M","H",101,"STREET","LA BREA                      AV","EDGEWOOD                     PL","{'longitude': '-118.3436', 'latitude': '34.0544'}",23080,637,1507,NA,12,23
"719",435671,100415278,"2010-09-19","2010-09-19",300,4,"Hollenbeck",402,997,"TRAFFIC COLLISION","0605",NA,"M","X",101,"STREET","4500    GRIFFIN                      AV","","{'longitude': '-118.2024', 'latitude': '34.0945'}",23448,490,606,NA,11,92
"720",76374,170221844,"2017-12-10","2017-12-09",1700,2,"Rampart",238,997,"TRAFFIC COLLISION","3101 3401 3701 3006 3030",31,"M","W",101,"STREET","DOUGLAS                      ST","COLTON                       ST","{'longitude': '-118.2588', 'latitude': '34.0639'}",23444,548,397,54,11,31
"721",160413,161011713,"2016-06-26","2016-06-26",320,10,"West Valley",1005,997,"TRAFFIC COLLISION","3004 3037 3034 3028 3101 3401 3701 4026",57,"M","H",102,"SIDEWALK","SATICOY                      ST","NEWCASTLE                    AV","{'longitude': '-118.5262', 'latitude': '34.2084'}",18909,253,284,NA,2,12
"722",68823,181605131,"2018-01-29","2018-01-29",1230,16,"Foothill",1669,997,"TRAFFIC COLLISION","3011 3028 3101 3401 3701 4016 3037",69,"M","O",101,"STREET","PALI                         AV","HARMAN                       DR","{'longitude': '-118.2705', 'latitude': '34.238'}",3222,5,227,NA,1,7
"723",351140,120619451,"2012-07-28","2012-07-28",1100,6,"Hollywood",647,997,"TRAFFIC COLLISION","3003 3029 3026 3035 3037 3101 3401 3701 0605",29,"F","H",101,"STREET","ARGYLE","HOLLYWOOD                    BL","{'longitude': '-118.3252', 'latitude': '34.1016'}",23446,427,556,NA,8,34
"724",141830,160716729,"2016-10-21","2016-10-21",855,7,"Wilshire",762,997,"TRAFFIC COLLISION","3004 3025 3035 3036 3101 3401 3701 4008 3029",27,"F","W",101,"STREET","S  LA CIENEGA                   BL","PICKFORD                     PL","{'longitude': '-118.3762', 'latitude': '34.0482'}",23666,645,709,NA,6,95
"725",409942,111310180,"2011-04-12","2011-04-12",1215,13,"Newton",1313,997,"TRAFFIC COLLISION","",42,"M","H",101,"STREET","GRIFFITH                     AV","WASHINGTON                   BL","{'longitude': '-118.2535', 'latitude': '34.0259'}",23082,702,1220,7,13,76
"726",85528,170918821,"2017-10-16","2017-10-16",330,9,"Van Nuys",929,997,"TRAFFIC COLLISION","3701 3004 3037 3029 3026 3101 3401 4009",31,"M","H",101,"STREET","WOODMAN                      AV","KITTRIDGE                    AV","{'longitude': '-118.4312', 'latitude': '34.1904'}",19729,183,499,NA,5,70
"727",386538,110919884,"2011-10-17","2011-10-17",3,9,"Van Nuys",939,997,"TRAFFIC COLLISION","",NA,"M","H",101,"STREET","OXNARD","ETHEL","{'longitude': '-118.4181', 'latitude': '34.1794'}",19729,185,525,NA,5,70
"728",101801,170316440,"2017-07-05","2017-07-05",1445,3,"Southwest",328,997,"TRAFFIC COLLISION","4003 3037 3004 3026 3101",54,"M","B",101,"STREET","ADAMS                        BL","W  HOOVER                       BL","{'longitude': '-118.284', 'latitude': '34.0317'}",22724,684,976,7,13,32
"729",458431,102008938,"2010-03-15","2010-03-15",945,20,"Olympic",2013,997,"TRAFFIC COLLISION","",31,"F","B",101,"STREET","WESTERN                      AV","1ST                          ST","{'longitude': '-118.3091', 'latitude': '34.0737'}",22721,585,1125,NA,12,89
"730",275555,140908464,"2014-04-02","2014-04-02",745,9,"Van Nuys",941,997,"TRAFFIC COLLISION","3004 3037 3028 3030 3101 3401 3701 4026",NA,"F","W",101,"STREET","SEPULVEDA                    BL","BURBANK                      BL","{'longitude': '-118.4662', 'latitude': '34.1721'}",19735,246,649,NA,7,83
"731",312682,130911725,"2013-06-06","2013-06-06",1430,9,"Van Nuys",923,997,"TRAFFIC COLLISION","3004 3030 3037 3101 3401 3701 4026",66,"F","O",101,"STREET","VANOWEN                      ST","SEPULVEDA                    BL","{'longitude': '-118.4662', 'latitude': '34.1939'}",19734,227,560,NA,3,18
"732",318609,130508787,"2013-04-21","2013-04-19",945,5,"Harbor",565,997,"TRAFFIC COLLISION","3008 3025 3101",38,"F","W",101,"STREET","7TH                          ST","PACIFIC                      AV","{'longitude': '-118.2879', 'latitude': '33.7379'}",3342,970,433,NA,15,36
"733",59093,181508753,"2018-03-31","2018-03-31",1610,15,"N Hollywood",1548,997,"TRAFFIC COLLISION","3004 3037 3030 3028 3101 3401 3701 4026",56,"F","W",101,"STREET","DENNY                        AV","MAGNOLIA                     BL","{'longitude': '-118.3642', 'latitude': '34.1649'}",8488,212,338,NA,5,13
"734",310725,130410600,"2013-06-22","2013-06-22",1520,4,"Hollenbeck",497,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3030 3032",25,"F","W",101,"STREET","SOTO                         ST","HOSTETTER                    ST","{'longitude': '-118.2197', 'latitude': '34.0255'}",23441,530,961,NA,9,38
"735",341171,120322929,"2012-10-15","2012-10-15",815,3,"Southwest",311,997,"TRAFFIC COLLISION","3030 3028 3004 3101",40,"F","H",101,"STREET","LA CIENEGA","JEFFERSON","{'longitude': '-118.3721', 'latitude': '34.0267'}",23077,667,1119,NA,12,17
"736",426265,101925881,"2010-12-02","2010-12-02",800,19,"Mission",1967,997,"TRAFFIC COLLISION","",48,"M","B",101,"STREET","BEACHY                       AV","TERRA BELLA                  ST","{'longitude': '-118.4357', 'latitude': '34.2457'}",18907,130,403,NA,3,41
"737",192587,151616429,"2015-11-25","2015-11-25",715,16,"Foothill",1675,997,"TRAFFIC COLLISION","3004 3036 3026 3101 3401 3701 4026",36,"F","H",101,"STREET","LA TUNA CANYON               RD","TUXFORD                      ST","{'longitude': '-118.3706', 'latitude': '34.2348'}",19335,155,1371,8,3,21
"738",115427,170208876,"2017-04-09","2017-04-09",2000,2,"Rampart",237,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3026 0605",NA,"X","X",101,"STREET","W  2ND                          ST","E  EDGEWARE","{'longitude': '-118.2586', 'latitude': '34.0609'}",23444,548,847,54,11,67
"739",178018,160308178,"2016-03-05","2016-03-04",2120,3,"Southwest",341,997,"TRAFFIC COLLISION","4025 3037 3006 3028 3030 3101",50,"M","H",101,"STREET","COLISEUM                     ST","DUNSMUIR                     AV","{'longitude': '-118.3631', 'latitude': '34.0184'}",23077,760,1122,NA,12,54
"740",205484,150814378,"2015-09-01","2015-09-01",1615,8,"West LA",882,997,"TRAFFIC COLLISION","3008 3025 3034 3037 3101 3401 3701 4027",38,"M","H",101,"STREET","CORINTH                      AV","LA GRANGE                    AV","{'longitude': '-118.4446', 'latitude': '34.0404'}",23443,868,1518,9,10,50
"741",103079,170812066,"2017-06-27","2017-06-27",800,8,"West LA",857,997,"TRAFFIC COLLISION","3036 3004 3025 3035 3101 3401 3701 4027",30,"M","W",101,"STREET","PICO","CARDIFF","{'longitude': '-118.3921', 'latitude': '34.0553'}",23666,873,820,NA,6,95
"742",198014,151819299,"2015-10-21","2015-10-21",2340,18,"Southeast",1800,997,"TRAFFIC COLLISION","0605 3003 3028 3101 4018",43,"F","B",101,"STREET","106TH                        ST","SPRING                       ST","{'longitude': '-118.2762', 'latitude': '33.9401'}",22352,812,1191,7,14,45
"743",163442,161912996,"2016-06-08","2016-06-07",2255,19,"Mission",1911,997,"TRAFFIC COLLISION","3011 3037 3030 3028 3101 3401 3701 4026",NA,"X","X",101,"STREET","ROXFORD                      ST","TELFAIR                      AV","{'longitude': '-118.4764', 'latitude': '34.3072'}",18912,51,1402,NA,1,47
"744",278714,141408975,"2014-03-08","2014-03-08",1020,14,"Pacific",1432,997,"TRAFFIC COLLISION","3004 3030 3035 3036 3101 3401 3701 4014",68,"M","W",101,"STREET","VENICE                       BL","ABBOT KINNEY                 BL","{'longitude': '-118.4627', 'latitude': '33.9892'}",25073,909,1133,10,10,30
"745",457303,100707637,"2010-03-24","2010-03-24",1440,7,"Wilshire",747,997,"TRAFFIC COLLISION","",48,"F","H",101,"STREET","HIGHLAND                     AV","OLYMPIC                      BL","{'longitude': '-118.3405', 'latitude': '34.0571'}",23667,636,220,NA,7,86
"746",115351,170909169,"2017-04-10","2017-04-10",1055,9,"Van Nuys",939,997,"TRAFFIC COLLISION","3004 3036 3030 3028 3101 3401 3701 4009",NA,"F","W",101,"STREET","BURBANK                      BL","ETHEL                        AV","{'longitude': '-118.4181', 'latitude': '34.1721'}",19729,185,515,NA,7,83
"747",276626,141808079,"2014-03-25","2014-03-24",1950,18,"Southeast",1842,997,"TRAFFIC COLLISION","3006 3028 3030 3101",60,"M","H",101,"STREET","FIGUEROA                     ST","110TH                        ST","{'longitude': '-118.2826', 'latitude': '33.9356'}",24355,814,1192,7,14,53
"748",49499,180410577,"2018-06-02","2018-06-02",2100,4,"Hollenbeck",423,997,"TRAFFIC COLLISION","3101 3401 3701 3003 3024 3029 3036 1218",60,"M","H",101,"STREET","MARENGO                      ST","N  MISSION                      RD","{'longitude': '-118.2116', 'latitude': '34.0651'}",23448,494,721,NA,11,1
"749",167862,160210524,"2016-05-10","2016-05-10",1100,2,"Rampart",247,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3030 3602 3032",34,"F","H",108,"PARKING LOT","6TH                          ST","BURLINGTON                   AV","{'longitude': '-118.2711', 'latitude': '34.0579'}",23078,563,836,NA,11,67
"750",315783,131710233,"2013-05-11","2013-05-11",900,17,"Devonshire",1764,997,"TRAFFIC COLLISION","3036 4026 3004 3026 3101 3401 3701",69,"M","O",101,"STREET","LASSEN                       ST","TAMPA                        AV","{'longitude': '-118.5536', 'latitude': '34.25'}",18513,97,306,NA,2,77
"751",145064,161717322,"2016-10-01","2016-10-01",1410,17,"Devonshire",1794,997,"TRAFFIC COLLISION","3003 3025 3036 3101 3401 3701 4026",49,"M","H",101,"STREET","RESEDA                       BL","CHASE                        ST","{'longitude': '-118.5361', 'latitude': '34.2246'}",18513,113,590,NA,2,65
"752",138653,160417495,"2016-11-11","2016-11-11",1520,4,"Hollenbeck",413,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3030",31,"F","H",101,"STREET","JOHNSON                      ST","AVENUE 28","{'longitude': '-118.213', 'latitude': '34.082'}",23448,491,618,NA,11,1
"753",92297,170414951,"2017-09-03","2017-09-03",1617,4,"Hollenbeck",469,997,"TRAFFIC COLLISION","3101 3401 3701 3006 3030 3034",NA,"M","W",101,"STREET","CESAR E CHAVEZ               AV","INDIANA                      ST","{'longitude': '-118.1925', 'latitude': '34.0405'}",24028,515,946,NA,9,38
"754",93986,170814636,"2017-08-24","2017-08-24",1700,8,"West LA",881,997,"TRAFFIC COLLISION","3004 3028 3030 3035 3037 3101 3401 3701 4027",37,"M","H",101,"STREET","BUNDY                        DR","PICO                         BL","{'longitude': '-118.4502', 'latitude': '34.0294'}",24029,867,1128,9,10,50
"755",419418,111605249,"2011-01-27","2011-01-27",1850,16,"Foothill",1651,997,"TRAFFIC COLLISION","0605",34,"M","B",101,"STREET","LAUREL CANYON                BL","OSBORNE                      ST","{'longitude': '-118.4195', 'latitude': '34.2469'}",18907,35,960,NA,1,11
"756",93291,170216251,"2017-08-28","2017-08-28",230,2,"Rampart",295,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3026 3029 3801 3602",43,"M","H",101,"STREET","WASHINGTON                   BL","UNION                        BL","{'longitude': '-118.2811', 'latitude': '34.0385'}",23076,695,661,NA,11,8
"757",321538,130707572,"2013-03-26","2013-03-26",1700,7,"Wilshire",782,997,"TRAFFIC COLLISION","0110 3004 3026 3031 3035 3037 3101 3401 3701",23,"M","O",101,"STREET","6000    CADILLAC                     AV","","{'longitude': '-118.3742', 'latitude': '34.0375'}",23451,887,1102,NA,12,23
"758",140051,161521223,"2016-11-02","2016-11-02",1630,15,"N Hollywood",1596,997,"TRAFFIC COLLISION","3006 3030 3028 3102 3401 3701 4015 3037",36,"M","O",101,"STREET","VENTURA                      BL","FRUITLAND                    DR","{'longitude': '-118.372', 'latitude': '34.1411'}",8492,NA,712,6,5,84
"759",58642,181508952,"2018-04-04","2018-04-03",1420,15,"N Hollywood",1523,997,"TRAFFIC COLLISION","3004 3026 3101 3401 3701 4015 3037",65,"M","B",101,"STREET","VICTORY                      BL","BELLAIRE                     AV","{'longitude': '-118.4094', 'latitude': '34.1867'}",8889,187,503,NA,5,70
"760",434702,100715697,"2010-09-27","2010-09-27",45,7,"Wilshire",702,997,"TRAFFIC COLLISION","",31,"M","A",101,"STREET","CURSON                       AV","CLINTON                      ST","{'longitude': '-118.3553', 'latitude': '34.0818'}",23667,447,804,NA,6,26
"761",28735,181918873,"2018-10-11","2018-10-11",1725,19,"Mission",1915,997,"TRAFFIC COLLISION","3037 3011 3030 3034 3028 3101 3401 3701 4026",42,"M","W",101,"STREET","HUBBARD                      ST","HERRICK                      AV","{'longitude': '-118.4422', 'latitude': '34.2968'}",18912,59,1225,NA,1,47
"762",163563,161912890,"2016-06-06","2016-06-06",700,19,"Mission",1993,997,"TRAFFIC COLLISION","3006 3037 3025 3101 3401 3701 4026",25,"F","H",101,"STREET","NOBLE                        AV","LANARK                       ST","{'longitude': '-118.4618', 'latitude': '34.2179'}",19730,141,424,NA,3,59
"763",7140,191307384,"2019-03-03","2019-03-03",1820,13,"Newton",1346,997,"TRAFFIC COLLISION","3101 3401 3701 3009 3024 3036 3029",32,"M","H",101,"STREET","VERNON                       AV","CENTRAL","{'longitude': '-118.2565', 'latitude': '34.0039'}",22727,717,563,7,13,NA
"764",261422,141012698,"2014-07-24","2014-07-23",1545,10,"West Valley",1078,997,"TRAFFIC COLLISION","4010 3004 3030 3028 3101 3401 3701",41,"F","O",101,"STREET","16600    VENTURA                      BL","","{'longitude': '-118.4945', 'latitude': '34.1579'}",19737,326,1363,6,6,62
"765",372690,121906159,"2012-02-06","2012-02-06",1240,19,"Mission",1944,997,"TRAFFIC COLLISION","3004 3026 3037 3101 3401",20,"F","H",101,"STREET","LAUREL CANYON                BL","FOX                          ST","{'longitude': '-118.4459', 'latitude': '34.2717'}",18910,71,378,NA,1,4
"766",5580,190507277,"2019-03-15","2019-03-14",1945,5,"Harbor",563,997,"TRAFFIC COLLISION","4025 3037 3006 3028 3030 3101",68,"M","O",101,"STREET","11TH                         ST","ALMA                         ST","{'longitude': '-118.299', 'latitude': '33.7343'}",3342,977,1210,NA,15,36
"767",73566,171524354,"2017-12-28","2017-12-28",1750,15,"N Hollywood",1581,997,"TRAFFIC COLLISION","3009 3037 3025 3101 3401 3701 4026",51,"M","W",101,"STREET","MOORPARK                     ST","WHITSETT                     AV","{'longitude': '-118.4052', 'latitude': '34.1504'}",8492,345,1340,NA,5,84
"768",174075,161210368,"2016-03-31","2016-03-30",2230,12,"77th Street",1208,997,"TRAFFIC COLLISION","4025 3037 3004 3028 3030 3101",42,"M","W",101,"STREET","HOOVER","49TH","{'longitude': '-118.2871', 'latitude': '33.9988'}",23668,739,896,7,13,2
"769",79906,170325727,"2017-11-18","2017-11-18",1240,3,"Southwest",378,997,"TRAFFIC COLLISION","4003 3025 3101 3037 3004",NA,"M","H",101,"STREET","LEIGHTON                     AV","VERMONT                      AV","{'longitude': '-118.2915', 'latitude': '34.0132'}",23668,729,977,7,13,32
"770",318748,130210489,"2013-04-20","2013-04-19",2205,2,"Rampart",292,997,"TRAFFIC COLLISION","3026 3101 3401 3701 3004",21,"F","H",101,"STREET","W  WASHINGTON                   BL","S  HOOVER                       ST","{'longitude': '-118.2841', 'latitude': '34.0399'}",22723,696,1521,NA,11,8
"771",59808,180309674,"2018-03-26","2018-03-26",1715,3,"Southwest",356,997,"TRAFFIC COLLISION","4003 3028 3030 3101 3036 3004 2100",67,"M","H",101,"STREET","WESTERN                      AV","37TH                         ST","{'longitude': '-118.3089', 'latitude': '34.0211'}",23079,687,1295,7,14,32
"772",387607,111920713,"2011-10-09","2011-10-09",400,19,"Mission",1907,997,"TRAFFIC COLLISION","",NA,"","",101,"STREET","MACNEIL                      ST","GLADSTONE                    AV","{'longitude': '-118.4169', 'latitude': '34.2994'}",18912,41,890,NA,1,47
"773",165292,162011150,"2016-05-26","2016-05-26",635,20,"Olympic",2079,997,"TRAFFIC COLLISION","3004 3026 3035 3037 3101 3401 3701 4027",29,"F","H",101,"STREET","VERMONT                      AV","PICO                         BL","{'longitude': '-118.2916', 'latitude': '34.0473'}",22723,620,1356,NA,11,8
"774",234531,151506145,"2015-02-09","2015-02-09",200,15,"N Hollywood",1585,997,"TRAFFIC COLLISION","3011 3028 3033 3034 3037 3101 3401 3701 4015",29,"F","W",101,"STREET","VINELAND                     AV","BLUFFSIDE                    DR","{'longitude': '-118.3703', 'latitude': '34.1421'}",8492,349,389,NA,5,84
"775",152177,161221645,"2016-08-18","2016-08-18",745,12,"77th Street",1239,997,"TRAFFIC COLLISION","4012 3003 3024 3101 0605",34,"F","H",101,"STREET","60TH","VERMONT","{'longitude': '-118.2915', 'latitude': '33.9859'}",23675,766,1157,7,13,2
"776",94597,171613356,"2017-08-20","2017-08-20",1700,16,"Foothill",1613,997,"TRAFFIC COLLISION","3028 3004 3030 3037 3102 3401 3701 4016",36,"M","B",101,"STREET","BORDEN                       AV","PIERCE                       ST","{'longitude': '-118.4068', 'latitude': '34.2746'}",18907,17,1369,NA,1,11
"777",278155,142107128,"2014-03-12","2014-03-12",800,21,"Topanga",2149,997,"TRAFFIC COLLISION","3101 3401 3701 4026 3004 3037 3028 3030",27,"F","H",101,"STREET","WINNETKA                     AV","LEADWELL                     ST","{'longitude': '-118.571', 'latitude': '34.2035'}",4282,290,281,NA,4,66
"778",302488,130514338,"2013-08-28","2013-08-28",1130,5,"Harbor",501,997,"TRAFFIC COLLISION","3026 3029 3101 3004",40,"M","H",101,"STREET","FIGUEROA                     ST","190TH                        ST","{'longitude': '-118.2815', 'latitude': '33.8628'}",24685,1707,NA,NA,15,55
"779",250241,141601455,"2014-10-14","2014-10-14",420,16,"Foothill",1675,997,"TRAFFIC COLLISION","3003 3036 3029 3024 3104 3401 4016",25,"M","H",101,"STREET","SUNLAND                      BL","NETTLETON","{'longitude': '-118.3657', 'latitude': '34.2249'}",19335,154,1371,NA,3,21
"780",32615,180124030,"2018-09-17","2018-09-17",740,1,"Central",158,997,"TRAFFIC COLLISION","1300",NA,"X","X",101,"STREET","500    CERES                        AV","","{'longitude': '-118.2398', 'latitude': '34.0416'}",23074,537,1018,NA,9,76
"781",20456,180417917,"2018-12-03","2018-12-01",1700,4,"Hollenbeck",491,997,"TRAFFIC COLLISION","3101 3401 3701 3011 3030 3034",NA,"M","O",101,"STREET","PICO                         BL","SOTO                         ST","{'longitude': '-118.2222', 'latitude': '34.0233'}",23441,535,961,NA,9,38
"782",361087,121312165,"2012-05-16","2012-05-07",1830,13,"Newton",1393,997,"TRAFFIC COLLISION","3003 0605 3024 3029 3035 3036",50,"F","B",101,"STREET","GAGE                         AV","BROADWAY","{'longitude': '-118.2783', 'latitude': '33.9824'}",22352,785,993,7,13,46
"783",65261,181306938,"2018-02-20","2018-02-20",1410,13,"Newton",1395,997,"TRAFFIC COLLISION","3101 3401 3701 3006 3030",NA,"M","O",101,"STREET","300 E  64TH                         ST","","{'longitude': '-118.2695', 'latitude': '33.9815'}",22352,789,996,7,13,46
"784",399015,111713811,"2011-07-11","2011-07-11",1235,17,"Devonshire",1722,997,"TRAFFIC COLLISION","",39,"M","O",101,"STREET","TOPANGA CANYON               BL","DEVONSHIRE                   ST","{'longitude': '-118.6061', 'latitude': '34.2572'}",4284,90,271,4,2,43
"785",464446,100205439,"2010-01-28","2010-01-26",650,2,"Rampart",249,997,"TRAFFIC COLLISION","",37,"M","W",108,"PARKING LOT","PAUL                         PL","WILSHIRE                     BL","{'longitude': '-118.2611', 'latitude': '34.0542'}",23078,567,847,54,11,76
"786",446168,100711572,"2010-06-23","2010-06-23",545,7,"Wilshire",782,997,"TRAFFIC COLLISION","",28,"M","O",101,"STREET","WASHINGTON","APPLE","{'longitude': '-118.3717', 'latitude': '34.0387'}",23451,887,1104,NA,12,69
"787",48594,181011264,"2018-06-09","2018-06-08",2100,10,"West Valley",1041,997,"TRAFFIC COLLISION","3004 3037 3026 3101 3401 3701 4026",37,"M","H",101,"STREET","TAMPA                        AV","OXNARD                       ST","{'longitude': '-118.5535', 'latitude': '34.1793'}",19339,317,1493,NA,4,10
"788",38677,180216767,"2018-08-10","2018-08-10",1530,2,"Rampart",219,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3026 3036",32,"M","H",101,"STREET","SUNSET                       BL","MARION                       AV","{'longitude': '-118.2502', 'latitude': '34.0682'}",23444,483,1010,NA,11,31
"789",292945,130816410,"2013-11-10","2013-11-10",1,8,"West LA",889,997,"TRAFFIC COLLISION","3006 3030 3035 3037 3101 3401 3701 4027",22,"F","H",101,"STREET","ROBERTSON                    BL","GUTHRIE                      AV","{'longitude': '-118.3867', 'latitude': '34.0423'}",23451,877,835,NA,12,95
"790",247961,141016866,"2014-10-31","2014-10-31",1100,10,"West Valley",1009,997,"TRAFFIC COLLISION","3004 3037 3026 3034 3101 3401 3701 4026",31,"M","A",101,"STREET","ROSCOE                       BL","HAYVENHURST                  AV","{'longitude': '-118.4921', 'latitude': '34.2213'}",18914,120,422,NA,2,88
"791",450769,100709974,"2010-05-16","2010-05-16",1740,7,"Wilshire",782,997,"TRAFFIC COLLISION","",34,"F","B",101,"STREET","SAWYER                       ST","FAIRFAX                      AV","{'longitude': '-118.37', 'latitude': '34.0413'}",23080,887,1102,NA,12,23
"792",404527,111415828,"2011-05-26","2011-05-26",1445,14,"Pacific",1483,997,"TRAFFIC COLLISION","",51,"F","W",101,"STREET","MANCHESTER                   AV","PARK HILL                    DR","{'longitude': '-118.4264', 'latitude': '33.9598'}",23676,929,1142,10,10,16
"793",1938,191607854,"2019-04-12","2019-04-12",1350,16,"Foothill",1614,997,"TRAFFIC COLLISION","",21,"F","H",101,"STREET","FOOTHILL                     BL","PIERCE                       ST","{'longitude': '-118.3987', 'latitude': '34.2779'}",18907,17,248,NA,1,11
"794",364456,121909919,"2012-04-10","2012-04-10",1630,19,"Mission",1966,997,"TRAFFIC COLLISION","3037 3004 3101 3401 3701",33,"M","O",101,"STREET","VAN NUYS                     BL","PLUMMER                      ST","{'longitude': '-118.4502', 'latitude': '34.2427'}",19730,132,958,NA,3,59
"795",181356,162006123,"2016-02-13","2016-02-12",1755,20,"Olympic",2017,997,"TRAFFIC COLLISION","3003 3025 3035 3037 3102 3401 3701 4027",81,"F","W",101,"STREET","VERMONT                      ST","3RD                          ST","{'longitude': '-118.2917', 'latitude': '34.0691'}",22721,584,1294,16,12,89
"796",93145,171613673,"2017-08-29","2017-08-29",730,16,"Foothill",1653,997,"TRAFFIC COLLISION","3006 3028 3030 3037 3101 3401 3701 4016",NA,"F","O",101,"STREET","KAGEL CANYON                 ST","SAN FERNANDO                 RD","{'longitude': '-118.4126', 'latitude': '34.2572'}",18907,29,255,NA,1,11
"797",365570,121708945,"2012-04-01","2012-04-01",1330,17,"Devonshire",1735,997,"TRAFFIC COLLISION","3026 3101 3401 3701 3004 3036",33,"M","O",101,"STREET","BALBOA                       BL","TULSA                        ST","{'longitude': '-118.5022', 'latitude': '34.2684'}",19329,77,1240,NA,2,79
"798",308652,131915325,"2013-07-09","2013-07-09",1750,19,"Mission",1972,997,"TRAFFIC COLLISION","3104 3008 3036 3026 3401 3701 4026",NA,"","",101,"STREET","COLUMBUS","RAYEN","{'longitude': '-118.4654', 'latitude': '34.2319'}",18914,125,1108,NA,1,73
"799",233413,150206620,"2015-02-17","2015-02-17",1728,2,"Rampart",212,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3029 3026",25,"F","H",101,"STREET","VIRGIL                       AV","OAKWOOD                      AV","{'longitude': '-118.2868', 'latitude': '34.0777'}",22721,455,507,16,8,80
"800",448605,101513618,"2010-06-03","2010-06-03",1050,15,"N Hollywood",1514,997,"TRAFFIC COLLISION","",24,"M","H",101,"STREET","AGNES                        AV","ARCHWOOD                     ST","{'longitude': '-118.3954', 'latitude': '34.1921'}",8889,175,489,NA,5,13
"801",115075,172109397,"2017-04-12","2017-04-12",1900,21,"Topanga",2136,997,"TRAFFIC COLLISION","3004 3037 3030 3028 3101 3401 3701 4021",30,"F","W",101,"STREET","SHERMAN                      WY","ETON                         AV","{'longitude': '-118.5955', 'latitude': '34.201'}",4278,286,951,NA,4,37
